X_Interpolated	Y_Interpolated
276.00000000	2.79635963
277.05010020	2.78757711
278.10020040	2.77881966
279.15030060	2.77008727
280.20040080	2.76137996
281.25050100	2.75269771
282.30060120	2.74404053
283.35070140	2.73540842
284.40080160	2.72680137
285.45090180	2.71821940
286.50100200	2.70966249
287.55110220	2.70113065
288.60120240	2.69262388
289.65130261	2.68414217
290.70140281	2.67568554
291.75150301	2.66725397
292.80160321	2.65884747
293.85170341	2.65046604
294.90180361	2.64210968
295.95190381	2.63377838
297.00200401	2.62547215
298.05210421	2.61719099
299.10220441	2.60893490
300.15230461	2.60070388
301.20240481	2.59249792
302.25250501	2.58431703
303.30260521	2.57616121
304.35270541	2.56803046
305.40280561	2.55992478
306.45290581	2.55184416
307.50300601	2.54378862
308.55310621	2.53575814
309.60320641	2.52775273
310.65330661	2.51977238
311.70340681	2.51181711
312.75350701	2.50388690
313.80360721	2.49598176
314.85370741	2.48810169
315.90380762	2.48024669
316.95390782	2.47241675
318.00400802	2.46461188
319.05410822	2.45683208
320.10420842	2.44906312
321.15430862	2.44125184
322.20440882	2.43339319
323.25450902	2.42548717
324.30460922	2.41753378
325.35470942	2.40953303
326.40480962	2.40148490
327.45490982	2.39338941
328.50501002	2.38524655
329.55511022	2.37705632
330.60521042	2.36881872
331.65531062	2.36053376
332.70541082	2.35220143
333.75551102	2.34382173
334.80561122	2.33539466
335.85571142	2.32692022
336.90581162	2.31839841
337.95591182	2.30982924
339.00601202	2.30121270
340.05611222	2.29254878
341.10621242	2.28383751
342.15631263	2.27507886
343.20641283	2.26627284
344.25651303	2.25741946
345.30661323	2.24851871
346.35671343	2.23957059
347.40681363	2.23054632
348.45691383	2.22131727
349.50701403	2.21186799
350.55711423	2.20219847
351.60721443	2.19230872
352.65731463	2.18219874
353.70741483	2.17186852
354.75751503	2.16131806
355.80761523	2.15054737
356.85771543	2.13955645
357.90781563	2.12834529
358.95791583	2.11691390
360.00801603	2.10526227
361.05811623	2.09339041
362.10821643	2.08129831
363.15831663	2.06898598
364.20841683	2.05645342
365.25851703	2.04370062
366.30861723	2.03072758
367.35871743	2.01753432
368.40881764	2.00412081
369.45891784	1.99048707
370.50901804	1.97663310
371.55911824	1.96255889
372.60921844	1.94822221
373.65931864	1.93154709
374.70941884	1.91138207
375.75951904	1.88772716
376.80961924	1.86058236
377.85971944	1.82994766
378.90981964	1.79582307
379.95991984	1.75820858
381.01002004	1.71710419
382.06012024	1.67250991
383.11022044	1.62442574
384.16032064	1.56338631
385.21042084	1.47796157
386.26052104	1.36812669
387.31062124	1.23647641
388.36072144	1.09953151
389.41082164	0.96369483
390.46092184	0.83260985
391.51102204	0.72025911
392.56112224	0.63050853
393.61122244	0.56415814
394.66132265	0.52120796
395.71142285	0.49902246
396.76152305	0.47450903
397.81162325	0.44228137
398.86172345	0.40233950
399.91182365	0.35593789
400.96192385	0.31348047
402.01202405	0.27728941
403.06212425	0.24736473
404.11222445	0.22370642
405.16232465	0.20631448
406.21242485	0.19518892
407.26252505	0.18926041
408.31262525	0.18393773
409.36272545	0.17869594
410.41282565	0.17353503
411.46292585	0.16845500
412.51302605	0.16345585
413.56312625	0.15853758
414.61322645	0.15370019
415.66332665	0.14894369
416.71342685	0.14426806
417.76352705	0.13967331
418.81362725	0.13515945
419.86372745	0.13072646
420.91382766	0.12637436
421.96392786	0.12210313
423.01402806	0.11791279
424.06412826	0.11380333
425.11422846	0.10977474
426.16432866	0.10582704
427.21442886	0.10196022
428.26452906	0.09817428
429.31462926	0.09446922
430.36472946	0.09084504
431.41482966	0.08730175
432.46492986	0.08383933
433.51503006	0.08045779
434.56513026	0.07715714
435.61523046	0.07393736
436.66533066	0.07079847
437.71543086	0.06774045
438.76553106	0.06476332
439.81563126	0.06186707
