X_Interpolated	Y_Interpolated
276.00000000	5.73065688
277.05010020	5.73515135
278.10020040	5.73978910
279.15030060	5.74457012
280.20040080	5.74949442
281.25050100	5.75456200
282.30060120	5.75977285
283.35070140	5.76512697
284.40080160	5.77062437
285.45090180	5.77626505
286.50100200	5.78204900
287.55110220	5.78797622
288.60120240	5.79404672
289.65130261	5.80026050
290.70140281	5.80661755
291.75150301	5.81311788
292.80160321	5.81976148
293.85170341	5.82654836
294.90180361	5.83347851
295.95190381	5.84055194
297.00200401	5.84776865
298.05210421	5.85512863
299.10220441	5.86263188
300.15230461	5.87027841
301.20240481	5.87806822
302.25250501	5.88600130
303.30260521	5.89407765
304.35270541	5.90229729
305.40280561	5.91066019
306.45290581	5.91916637
307.50300601	5.92781583
308.55310621	5.93660856
309.60320641	5.94554457
310.65330661	5.95462385
311.70340681	5.96384641
312.75350701	5.97321225
313.80360721	5.98272136
314.85370741	5.99237374
315.90380762	6.00216940
316.95390782	6.01210834
318.00400802	6.02219055
319.05410822	6.03241603
320.10420842	6.04278479
321.15430862	6.05329683
322.20440882	6.06395214
323.25450902	6.07475073
324.30460922	6.08569259
325.35470942	6.09677773
326.40480962	6.10800614
327.45490982	6.11937783
328.50501002	6.13089279
329.55511022	6.14255103
330.60521042	6.15435255
331.65531062	6.16629734
332.70541082	6.17838540
333.75551102	6.19061674
334.80561122	6.20299136
335.85571142	6.21550925
336.90581162	6.22817042
337.95591182	6.24097486
339.00601202	6.25392257
340.05611222	6.26701357
341.10621242	6.28024783
342.15631263	6.29362538
343.20641283	6.30722018
344.25651303	6.32116101
345.30661323	6.33545020
346.35671343	6.35008775
347.40681363	6.36507366
348.45691383	6.38040792
349.50701403	6.39609055
350.55711423	6.41212154
351.60721443	6.42850088
352.65731463	6.44522859
353.70741483	6.46230465
354.75751503	6.47972908
355.80761523	6.49750186
356.85771543	6.51562300
357.90781563	6.53409250
358.95791583	6.55291036
360.00801603	6.57207658
361.05811623	6.59162753
362.10821643	6.61234864
363.15831663	6.63455848
364.20841683	6.65825705
365.25851703	6.68344434
366.30861723	6.71012036
367.35871743	6.73828511
368.40881764	6.76793858
369.45891784	6.79908078
370.50901804	6.83171170
371.55911824	6.86583135
372.60921844	6.90143973
373.65931864	6.93853683
374.70941884	6.97712266
375.75951904	7.01719722
376.80961924	7.05876050
377.85971944	7.10302494
378.90981964	7.15191381
379.95991984	7.20545141
381.01002004	7.26363773
382.06012024	7.32647278
383.11022044	7.39395655
384.16032064	7.46558592
385.21042084	7.52895886
386.26052104	7.57873386
387.31062124	7.61491092
388.36072144	7.63749005
389.41082164	7.64647124
390.46092184	7.64185450
391.51102204	7.62363982
392.56112224	7.59183173
393.61122244	7.55396824
394.66132265	7.51687985
395.71142285	7.48056656
396.76152305	7.44502835
397.81162325	7.41026524
398.86172345	7.37627722
399.91182365	7.34306429
400.96192385	7.31062645
402.01202405	7.27896371
403.06212425	7.24807606
404.11222445	7.21796350
405.16232465	7.18862603
406.21242485	7.16006366
407.26252505	7.13227637
408.31262525	7.10526418
409.36272545	7.07902709
410.41282565	7.05356508
411.46292585	7.02887817
412.51302605	7.00496634
413.56312625	6.98182962
414.61322645	6.95946798
415.66332665	6.93788143
416.71342685	6.91706998
417.76352705	6.89703362
418.81362725	6.87777235
419.86372745	6.85928618
420.91382766	6.84157510
421.96392786	6.82463910
423.01402806	6.80847821
424.06412826	6.79309240
425.11422846	6.77848168
426.16432866	6.76464606
427.21442886	6.75158553
428.26452906	6.73929789
429.31462926	6.72740555
430.36472946	6.71563191
431.41482966	6.70397699
432.46492986	6.69244078
433.51503006	6.68102327
434.56513026	6.66972448
435.61523046	6.65854439
436.66533066	6.64748301
437.71543086	6.63654035
438.76553106	6.62571639
439.81563126	6.61501114
440.86573146	6.60442460
441.91583166	6.59395677
442.96593186	6.58360765
444.01603206	6.57337724
445.06613226	6.56326553
446.11623246	6.55327254
447.16633267	6.54339826
448.21643287	6.53364268
449.26653307	6.52400582
450.31663327	6.51448766
451.36673347	6.50508821
452.41683367	6.49580748
453.46693387	6.48664545
454.51703407	6.47760213
455.56713427	6.46867752
456.61723447	6.45987162
457.66733467	6.45118443
458.71743487	6.44261595
459.76753507	6.43416617
460.81763527	6.42583511
461.86773547	6.41762276
462.91783567	6.40952911
463.96793587	6.40155418
465.01803607	6.39369795
466.06813627	6.38596043
467.11823647	6.37834163
468.16833667	6.37084153
469.21843687	6.36346014
470.26853707	6.35619746
471.31863727	6.34905349
472.36873747	6.34202823
473.41883768	6.33512168
474.46893788	6.32833384
475.51903808	6.32166470
476.56913828	6.31511428
477.61923848	6.30868256
478.66933868	6.30236956
479.71943888	6.29617526
480.76953908	6.29009968
481.81963928	6.28414280
482.86973948	6.27830463
483.91983968	6.27258517
484.96993988	6.26698442
486.02004008	6.26150238
487.07014028	6.25613905
488.12024048	6.25089443
489.17034068	6.24576852
490.22044088	6.24076132
491.27054108	6.23587282
492.32064128	6.23110304
493.37074148	6.22645196
494.42084168	6.22191960
495.47094188	6.21750594
496.52104208	6.21321099
497.57114228	6.20903476
498.62124248	6.20497723
499.67134269	6.20103841
500.72144289	6.19721830
501.77154309	6.19351690
502.82164329	6.18993421
503.87174349	6.18647022
504.92184369	6.18312495
505.97194389	6.17989839
507.02204409	6.17678378
508.07214429	6.17370450
509.12224449	6.17063896
510.17234469	6.16758716
511.22244489	6.16454910
512.27254509	6.16152478
513.32264529	6.15851420
514.37274549	6.15551736
515.42284569	6.15253426
516.47294589	6.14956490
517.52304609	6.14660927
518.57314629	6.14366739
519.62324649	6.14073925
520.67334669	6.13782485
521.72344689	6.13492419
522.77354709	6.13203726
523.82364729	6.12916408
524.87374749	6.12630464
525.92384770	6.12345893
526.97394790	6.12062697
528.02404810	6.11780875
529.07414830	6.11500426
530.12424850	6.11221352
531.17434870	6.10943651
532.22444890	6.10667325
533.27454910	6.10392372
534.32464930	6.10118794
535.37474950	6.09846589
536.42484970	6.09575759
537.47494990	6.09306302
538.52505010	6.09038219
539.57515030	6.08771511
540.62525050	6.08506176
541.67535070	6.08242215
542.72545090	6.07979629
543.77555110	6.07718416
544.82565130	6.07458577
545.87575150	6.07200112
546.92585170	6.06943021
547.97595190	6.06687305
549.02605210	6.06432962
550.07615230	6.06179993
551.12625251	6.05928398
552.17635271	6.05678177
553.22645291	6.05429330
554.27655311	6.05181857
555.32665331	6.04935758
556.37675351	6.04691033
557.42685371	6.04447682
558.47695391	6.04205705
559.52705411	6.03965102
560.57715431	6.03725873
561.62725451	6.03488018
562.67735471	6.03251536
563.72745491	6.03016429
564.77755511	6.02782696
565.82765531	6.02550337
566.87775551	6.02319352
567.92785571	6.02089740
568.97795591	6.01861503
570.02805611	6.01634640
571.07815631	6.01409150
572.12825651	6.01185035
573.17835671	6.00962294
574.22845691	6.00740926
575.27855711	6.00520933
576.32865731	6.00302313
577.37875752	6.00085068
578.42885772	5.99869196
579.47895792	5.99654699
580.52905812	5.99441575
581.57915832	5.99229826
582.62925852	5.99019450
583.67935872	5.98810448
584.72945892	5.98602821
585.77955912	5.98396567
586.82965932	5.98191687
587.87975952	5.97988182
588.92985972	5.97786050
589.97995992	5.97585292
591.03006012	5.97385908
592.08016032	5.97187899
593.13026052	5.96991263
594.18036072	5.96796001
595.23046092	5.96602113
596.28056112	5.96409599
597.33066132	5.96218459
598.38076152	5.96028693
599.43086172	5.95840301
600.48096192	5.95653283
601.53106212	5.95467639
602.58116232	5.95283369
603.63126253	5.95100473
604.68136273	5.94918951
605.73146293	5.94738803
606.78156313	5.94560029
607.83166333	5.94382629
608.88176353	5.94206603
609.93186373	5.94031950
610.98196393	5.93858672
612.03206413	5.93686768
613.08216433	5.93516238
614.13226453	5.93347081
615.18236473	5.93179299
616.23246493	5.93012891
617.28256513	5.92847856
618.33266533	5.92684196
619.38276553	5.92521909
620.43286573	5.92360997
621.48296593	5.92201459
622.53306613	5.92043294
623.58316633	5.91886504
624.63326653	5.91731087
625.68336673	5.91577045
626.73346693	5.91424376
627.78356713	5.91273081
628.83366733	5.91123161
629.88376754	5.90974614
630.93386774	5.90827441
631.98396794	5.90681643
633.03406814	5.90537218
634.08416834	5.90394167
635.13426854	5.90252491
636.18436874	5.90112188
637.23446894	5.89973259
638.28456914	5.89835704
639.33466934	5.89699523
640.38476954	5.89564716
641.43486974	5.89431284
642.48496994	5.89299225
643.53507014	5.89168540
644.58517034	5.89039229
645.63527054	5.88911292
646.68537074	5.88784729
647.73547094	5.88659540
648.78557114	5.88535725
649.83567134	5.88413284
650.88577154	5.88292216
651.93587174	5.88172523
652.98597194	5.88054204
654.03607214	5.87937259
655.08617234	5.87821688
656.13627255	5.87707491
657.18637275	5.87594667
658.23647295	5.87483218
659.28657315	5.87373143
660.33667335	5.87264441
661.38677355	5.87157114
662.43687375	5.87051016
663.48697395	5.86945388
664.53707415	5.86840118
665.58717435	5.86735208
666.63727455	5.86630656
667.68737475	5.86526463
668.73747495	5.86422629
669.78757515	5.86319153
670.83767535	5.86216037
671.88777555	5.86113280
672.93787575	5.86010881
673.98797595	5.85908841
675.03807615	5.85807160
676.08817635	5.85705838
677.13827655	5.85604875
678.18837675	5.85504271
679.23847695	5.85404026
680.28857715	5.85304139
681.33867735	5.85204612
682.38877756	5.85105443
683.43887776	5.85006633
684.48897796	5.84908182
685.53907816	5.84810090
686.58917836	5.84712357
687.63927856	5.84614982
688.68937876	5.84517967
689.73947896	5.84421310
690.78957916	5.84325013
691.83967936	5.84229074
692.88977956	5.84133494
693.93987976	5.84038273
694.98997996	5.83943410
696.04008016	5.83848907
697.09018036	5.83754763
698.14028056	5.83660977
699.19038076	5.83567550
700.24048096	5.83474482
701.29058116	5.83381773
702.34068136	5.83289423
703.39078156	5.83197432
704.44088176	5.83105800
705.49098196	5.83014526
706.54108216	5.82923612
707.59118236	5.82833056
708.64128257	5.82742859
709.69138277	5.82653021
710.74148297	5.82563542
711.79158317	5.82474422
712.84168337	5.82385660
713.89178357	5.82297258
714.94188377	5.82209214
715.99198397	5.82121529
717.04208417	5.82034204
718.09218437	5.81947237
719.14228457	5.81860628
720.19238477	5.81774379
721.24248497	5.81688489
722.29258517	5.81602957
723.34268537	5.81517785
724.39278557	5.81432971
725.44288577	5.81348516
726.49298597	5.81264420
727.54308617	5.81180683
728.59318637	5.81097305
729.64328657	5.81014285
730.69338677	5.80931625
731.74348697	5.80849323
732.79358717	5.80767380
733.84368737	5.80685797
734.89378758	5.80604572
735.94388778	5.80523705
736.99398798	5.80443198
738.04408818	5.80363050
739.09418838	5.80283260
740.14428858	5.80203830
741.19438878	5.80124758
742.24448898	5.80046045
743.29458918	5.79967691
744.34468938	5.79889696
745.39478958	5.79812060
746.44488978	5.79734782
747.49498998	5.79657864
748.54509018	5.79581304
749.59519038	5.79505103
750.64529058	5.79429261
751.69539078	5.79353778
752.74549098	5.79278654
753.79559118	5.79203889
754.84569138	5.79129483
755.89579158	5.79055435
756.94589178	5.78981746
757.99599198	5.78908417
759.04609218	5.78835446
760.09619238	5.78762834
761.14629259	5.78690581
762.19639279	5.78618686
763.24649299	5.78547151
764.29659319	5.78475974
765.34669339	5.78405157
766.39679359	5.78334698
767.44689379	5.78264598
768.49699399	5.78194857
769.54709419	5.78125475
770.59719439	5.78056452
771.64729459	5.77987787
772.69739479	5.77919482
773.74749499	5.77851535
774.79759519	5.77783947
775.84769539	5.77716718
776.89779559	5.77649848
777.94789579	5.77583337
778.99799599	5.77517185
780.04809619	5.77451391
781.09819639	5.77385957
782.14829659	5.77320881
783.19839679	5.77256165
784.24849699	5.77191807
785.29859719	5.77127808
786.34869739	5.77064167
787.39879760	5.77000886
788.44889780	5.76937964
789.49899800	5.76875400
790.54909820	5.76813196
791.59919840	5.76751350
792.64929860	5.76689863
793.69939880	5.76628735
794.74949900	5.76567966
795.79959920	5.76507555
796.84969940	5.76447504
797.89979960	5.76387811
798.94989980	5.76328478
800.00000000	5.76269503
