X_Interpolated	Y_Interpolated
276.00000000	-0.00962625
277.05010020	-0.00951600
278.10020040	-0.00940609
279.15030060	-0.00929654
280.20040080	-0.00918735
281.25050100	-0.00907850
282.30060120	-0.00897001
283.35070140	-0.00886186
284.40080160	-0.00875407
285.45090180	-0.00864664
286.50100200	-0.00853955
287.55110220	-0.00843282
288.60120240	-0.00832643
289.65130261	-0.00822040
290.70140281	-0.00811473
291.75150301	-0.00800940
292.80160321	-0.00790443
293.85170341	-0.00779981
294.90180361	-0.00769554
295.95190381	-0.00759162
297.00200401	-0.00748805
298.05210421	-0.00738484
299.10220441	-0.00728198
300.15230461	-0.00717947
301.20240481	-0.00707731
302.25250501	-0.00697551
303.30260521	-0.00687405
304.35270541	-0.00677295
305.40280561	-0.00667220
306.45290581	-0.00657181
307.50300601	-0.00647176
308.55310621	-0.00637207
309.60320641	-0.00627273
310.65330661	-0.00617374
311.70340681	-0.00607510
312.75350701	-0.00597681
313.80360721	-0.00587888
314.85370741	-0.00578130
315.90380762	-0.00568407
316.95390782	-0.00558720
318.00400802	-0.00549067
319.05410822	-0.00539450
320.10420842	-0.00529868
321.15430862	-0.00520321
322.20440882	-0.00510809
323.25450902	-0.00501333
324.30460922	-0.00491891
325.35470942	-0.00482485
326.40480962	-0.00473115
327.45490982	-0.00463779
328.50501002	-0.00454479
329.55511022	-0.00445213
330.60521042	-0.00435983
331.65531062	-0.00426788
332.70541082	-0.00417629
333.75551102	-0.00408504
334.80561122	-0.00399415
335.85571142	-0.00390361
336.90581162	-0.00381342
337.95591182	-0.00372359
339.00601202	-0.00363410
340.05611222	-0.00354497
341.10621242	-0.00345619
342.15631263	-0.00336776
343.20641283	-0.00327969
344.25651303	-0.00319196
345.30661323	-0.00310459
346.35671343	-0.00301757
347.40681363	-0.00293090
348.45691383	-0.00284459
349.50701403	-0.00275863
350.55711423	-0.00267301
351.60721443	-0.00258775
352.65731463	-0.00250285
353.70741483	-0.00241829
354.75751503	-0.00233409
355.80761523	-0.00225024
356.85771543	-0.00216674
357.90781563	-0.00208359
358.95791583	-0.00200079
360.00801603	-0.00191835
361.05811623	-0.00183626
362.10821643	-0.00175452
363.15831663	-0.00167313
364.20841683	-0.00159210
365.25851703	-0.00151141
366.30861723	-0.00143108
367.35871743	-0.00135110
368.40881764	-0.00127148
369.45891784	-0.00119220
370.50901804	-0.00111328
371.55911824	-0.00103471
372.60921844	-0.00095649
373.65931864	-0.00087862
374.70941884	-0.00080111
375.75951904	-0.00072395
376.80961924	-0.00064714
377.85971944	-0.00057068
378.90981964	-0.00049457
379.95991984	-0.00041882
381.01002004	-0.00034341
382.06012024	-0.00026836
383.11022044	-0.00019366
384.16032064	-0.00011932
385.21042084	-0.00004532
386.26052104	0.00002832
387.31062124	0.00010161
388.36072144	0.00017455
389.41082164	0.00024713
390.46092184	0.00031937
391.51102204	0.00039125
392.56112224	0.00046278
393.61122244	0.00053396
394.66132265	0.00060478
395.71142285	0.00067526
396.76152305	0.00074538
397.81162325	0.00081515
398.86172345	0.00088457
399.91182365	0.00095363
400.96192385	0.00102235
402.01202405	0.00109071
403.06212425	0.00115872
404.11222445	0.00122638
405.16232465	0.00129368
406.21242485	0.00136064
407.26252505	0.00142724
408.31262525	0.00149349
409.36272545	0.00155939
410.41282565	0.00162493
411.46292585	0.00169012
412.51302605	0.00175497
413.56312625	0.00181946
414.61322645	0.00188359
415.66332665	0.00194738
416.71342685	0.00201081
417.76352705	0.00207389
418.81362725	0.00213662
419.86372745	0.00219900
420.91382766	0.00226102
421.96392786	0.00232270
423.01402806	0.00238402
424.06412826	0.00244499
425.11422846	0.00250560
426.16432866	0.00256587
427.21442886	0.00262578
428.26452906	0.00268534
429.31462926	0.00274455
430.36472946	0.00280341
431.41482966	0.00286191
432.46492986	0.00292007
433.51503006	0.00297787
434.56513026	0.00303531
435.61523046	0.00309241
436.66533066	0.00314916
437.71543086	0.00320555
438.76553106	0.00326159
439.81563126	0.00331728
440.86573146	0.00337261
441.91583166	0.00342760
442.96593186	0.00348223
444.01603206	0.00353651
445.06613226	0.00359044
446.11623246	0.00364402
447.16633267	0.00369724
448.21643287	0.00375011
449.26653307	0.00380263
450.31663327	0.00385480
451.36673347	0.00390662
452.41683367	0.00395808
453.46693387	0.00400919
454.51703407	0.00405995
455.56713427	0.00411036
456.61723447	0.00416042
457.66733467	0.00421012
458.71743487	0.00425947
459.76753507	0.00430847
460.81763527	0.00435712
461.86773547	0.00440541
462.91783567	0.00445336
463.96793587	0.00450095
465.01803607	0.00454819
466.06813627	0.00459508
467.11823647	0.00464161
468.16833667	0.00468780
469.21843687	0.00473363
470.26853707	0.00477911
471.31863727	0.00482423
472.36873747	0.00486901
473.41883768	0.00491343
474.46893788	0.00495750
475.51903808	0.00500122
476.56913828	0.00504459
477.61923848	0.00508760
478.66933868	0.00513027
479.71943888	0.00517258
480.76953908	0.00521454
481.81963928	0.00525614
482.86973948	0.00529740
483.91983968	0.00533830
484.96993988	0.00537885
486.02004008	0.00541905
487.07014028	0.00545890
488.12024048	0.00549839
489.17034068	0.00553754
490.22044088	0.00557633
491.27054108	0.00561477
492.32064128	0.00565285
493.37074148	0.00569059
494.42084168	0.00572797
495.47094188	0.00576500
496.52104208	0.00580168
497.57114228	0.00583800
498.62124248	0.00587398
499.67134269	0.00590960
500.72144289	0.00594487
501.77154309	0.00597979
502.82164329	0.00601436
503.87174349	0.00604857
504.92184369	0.00608243
505.97194389	0.00611594
507.02204409	0.00614910
508.07214429	0.00618191
509.12224449	0.00621436
510.17234469	0.00624646
511.22244489	0.00627821
512.27254509	0.00630961
513.32264529	0.00634066
514.37274549	0.00637135
515.42284569	0.00640169
516.47294589	0.00643168
517.52304609	0.00646132
518.57314629	0.00649060
519.62324649	0.00651954
520.67334669	0.00654812
521.72344689	0.00657635
522.77354709	0.00660423
523.82364729	0.00663175
524.87374749	0.00665893
525.92384770	0.00668575
526.97394790	0.00671222
528.02404810	0.00673833
529.07414830	0.00676410
530.12424850	0.00678951
531.17434870	0.00681457
532.22444890	0.00683928
533.27454910	0.00686364
534.32464930	0.00688765
535.37474950	0.00691130
536.42484970	0.00693460
537.47494990	0.00695755
538.52505010	0.00698015
539.57515030	0.00700239
540.62525050	0.00702428
541.67535070	0.00704582
542.72545090	0.00706701
543.77555110	0.00708785
544.82565130	0.00710833
545.87575150	0.00712847
546.92585170	0.00714825
547.97595190	0.00716768
549.02605210	0.00718675
550.07615230	0.00720548
551.12625251	0.00722385
552.17635271	0.00724187
553.22645291	0.00725954
554.27655311	0.00727685
555.32665331	0.00729382
556.37675351	0.00731043
557.42685371	0.00732669
558.47695391	0.00734260
559.52705411	0.00735816
560.57715431	0.00737336
561.62725451	0.00738821
562.67735471	0.00740271
563.72745491	0.00741686
564.77755511	0.00743066
565.82765531	0.00744410
566.87775551	0.00745719
567.92785571	0.00746993
568.97795591	0.00748232
570.02805611	0.00749436
571.07815631	0.00750604
572.12825651	0.00751737
573.17835671	0.00752835
574.22845691	0.00753898
575.27855711	0.00754925
576.32865731	0.00755918
577.37875752	0.00756875
578.42885772	0.00757797
579.47895792	0.00758684
580.52905812	0.00759535
581.57915832	0.00760352
582.62925852	0.00761133
583.67935872	0.00761879
584.72945892	0.00762589
585.77955912	0.00763265
586.82965932	0.00763905
587.87975952	0.00764510
588.92985972	0.00765080
589.97995992	0.00765615
591.03006012	0.00766114
592.08016032	0.00766579
593.13026052	0.00767008
594.18036072	0.00767402
595.23046092	0.00767760
596.28056112	0.00768084
597.33066132	0.00768372
598.38076152	0.00768625
599.43086172	0.00768843
600.48096192	0.00769026
601.53106212	0.00769173
602.58116232	0.00769286
603.63126253	0.00769363
604.68136273	0.00769405
605.73146293	0.00769411
606.78156313	0.00769383
607.83166333	0.00769319
608.88176353	0.00769220
609.93186373	0.00769086
610.98196393	0.00768916
612.03206413	0.00768712
613.08216433	0.00768472
614.13226453	0.00768197
615.18236473	0.00767887
616.23246493	0.00767542
617.28256513	0.00767161
618.33266533	0.00766745
619.38276553	0.00766294
620.43286573	0.00765808
621.48296593	0.00765287
622.53306613	0.00764730
623.58316633	0.00764138
624.63326653	0.00763511
625.68336673	0.00762849
626.73346693	0.00762152
627.78356713	0.00761419
628.83366733	0.00760651
629.88376754	0.00759848
630.93386774	0.00759010
631.98396794	0.00758136
633.03406814	0.00757228
634.08416834	0.00756284
635.13426854	0.00755305
636.18436874	0.00754291
637.23446894	0.00753241
638.28456914	0.00752156
639.33466934	0.00751037
640.38476954	0.00749882
641.43486974	0.00748691
642.48496994	0.00747466
643.53507014	0.00746205
644.58517034	0.00744909
645.63527054	0.00743578
646.68537074	0.00742212
647.73547094	0.00740810
648.78557114	0.00739374
649.83567134	0.00737902
650.88577154	0.00736395
651.93587174	0.00734852
652.98597194	0.00733275
654.03607214	0.00731662
655.08617234	0.00730014
656.13627255	0.00728331
657.18637275	0.00726613
658.23647295	0.00724859
659.28657315	0.00723071
660.33667335	0.00721247
661.38677355	0.00719387
662.43687375	0.00717493
663.48697395	0.00715564
664.53707415	0.00713599
665.58717435	0.00711599
666.63727455	0.00709564
667.68737475	0.00707493
668.73747495	0.00705388
669.78757515	0.00703247
670.83767535	0.00701071
671.88777555	0.00698860
672.93787575	0.00696613
673.98797595	0.00694332
675.03807615	0.00692015
676.08817635	0.00689663
677.13827655	0.00687276
678.18837675	0.00684853
679.23847695	0.00682396
680.28857715	0.00679903
681.33867735	0.00677375
682.38877756	0.00674812
683.43887776	0.00672213
684.48897796	0.00669580
685.53907816	0.00666911
686.58917836	0.00664207
687.63927856	0.00661468
688.68937876	0.00658693
689.73947896	0.00655884
690.78957916	0.00653039
691.83967936	0.00650159
692.88977956	0.00647243
693.93987976	0.00644293
694.98997996	0.00641307
696.04008016	0.00638286
697.09018036	0.00635230
698.14028056	0.00632139
699.19038076	0.00629013
700.24048096	0.00625851
701.29058116	0.00622654
702.34068136	0.00619422
703.39078156	0.00616155
704.44088176	0.00612852
705.49098196	0.00609515
706.54108216	0.00606142
707.59118236	0.00602733
708.64128257	0.00599290
709.69138277	0.00595812
710.74148297	0.00592298
711.79158317	0.00588749
712.84168337	0.00585165
713.89178357	0.00581546
714.94188377	0.00577891
715.99198397	0.00574201
717.04208417	0.00570476
718.09218437	0.00566716
719.14228457	0.00562921
720.19238477	0.00559090
721.24248497	0.00555225
722.29258517	0.00551324
723.34268537	0.00547387
724.39278557	0.00543416
725.44288577	0.00539410
726.49298597	0.00535368
727.54308617	0.00531291
728.59318637	0.00527179
729.64328657	0.00523031
730.69338677	0.00518849
731.74348697	0.00514631
732.79358717	0.00510378
733.84368737	0.00506090
734.89378758	0.00501766
735.94388778	0.00497408
736.99398798	0.00493014
738.04408818	0.00488585
739.09418838	0.00484121
740.14428858	0.00479621
741.19438878	0.00475087
742.24448898	0.00470517
743.29458918	0.00465912
744.34468938	0.00461271
745.39478958	0.00456596
746.44488978	0.00451885
747.49498998	0.00447140
748.54509018	0.00442358
749.59519038	0.00437542
750.64529058	0.00432691
751.69539078	0.00427804
752.74549098	0.00422882
753.79559118	0.00417925
754.84569138	0.00412933
755.89579158	0.00407905
756.94589178	0.00402843
757.99599198	0.00397745
759.04609218	0.00392612
760.09619238	0.00387443
761.14629259	0.00382240
762.19639279	0.00377001
763.24649299	0.00371727
764.29659319	0.00366418
765.34669339	0.00361074
766.39679359	0.00355694
767.44689379	0.00350280
768.49699399	0.00344830
769.54709419	0.00339345
770.59719439	0.00333824
771.64729459	0.00328269
772.69739479	0.00322678
773.74749499	0.00317052
774.79759519	0.00311391
775.84769539	0.00305695
776.89779559	0.00299963
777.94789579	0.00294196
778.99799599	0.00288394
780.04809619	0.00282557
781.09819639	0.00276685
782.14829659	0.00270777
783.19839679	0.00264834
784.24849699	0.00258857
785.29859719	0.00252843
786.34869739	0.00246795
787.39879760	0.00240711
788.44889780	0.00234593
789.49899800	0.00228439
790.54909820	0.00222249
791.59919840	0.00216025
792.64929860	0.00209765
793.69939880	0.00203471
794.74949900	0.00197141
795.79959920	0.00190775
796.84969940	0.00184375
797.89979960	0.00177939
798.94989980	0.00171468
800.00000000	0.00164962
