X_Interpolated	Y_Interpolated
200.00000000	3.82979378
201.20240481	3.83578882
202.40480962	3.84085228
203.60721443	3.84498419
204.80961924	3.84818453
206.01202405	3.85045331
207.21442886	3.85179052
208.41683367	3.85219617
209.61923848	3.85167025
210.82164329	3.85021278
212.02404810	3.84782373
213.22645291	3.84450313
214.42885772	3.84025096
215.63126253	3.83506722
216.83366733	3.82895193
218.03607214	3.82155433
219.23847695	3.80469264
220.44088176	3.77492842
221.64328657	3.73266780
222.84569138	3.68953680
224.04809619	3.65061206
225.25050100	3.61421464
226.45290581	3.58003994
227.65531062	3.54808796
228.85771543	3.51835870
230.06012024	3.49085216
231.26252505	3.46556834
232.46492986	3.44250724
233.66733467	3.42166886
234.86973948	3.40305319
236.07214429	3.38666025
237.27454910	3.37249003
238.47695391	3.35968527
239.67935872	3.34717860
240.88176353	3.33496689
242.08416834	3.32305014
243.28657315	3.31142836
244.48897796	3.30010155
245.69138277	3.28906970
246.89378758	3.27833281
248.09619238	3.26789089
249.29859719	3.25774394
250.50100200	3.24789195
251.70340681	3.23833492
252.90581162	3.22907286
254.10821643	3.22010577
255.31062124	3.21143364
256.51302605	3.20305648
257.71543086	3.19497428
258.91783567	3.18716612
260.12024048	3.17948731
261.32264529	3.17191025
262.52505010	3.16443492
263.72745491	3.15706134
264.92985972	3.14978950
266.13226453	3.14261940
267.33466934	3.13555104
268.53707415	3.12858442
269.73947896	3.12171954
270.94188377	3.11495641
272.14428858	3.10829501
273.34669339	3.10173536
274.54909820	3.09527744
275.75150301	3.08892127
276.95390782	3.08266684
278.15631263	3.07651415
279.35871743	3.07046320
280.56112224	3.06451400
281.76352705	3.05866653
282.96593186	3.05292080
284.16833667	3.04727682
285.37074148	3.04173458
286.57314629	3.03629407
287.77555110	3.03095531
288.97795591	3.02571829
290.18036072	3.02058301
291.38276553	3.01554948
292.58517034	3.01061768
293.78757515	3.00578762
294.98997996	3.00105931
296.19238477	2.99643273
297.39478958	2.99190790
298.59719439	2.98748481
299.79959920	2.98316346
301.00200401	2.97894385
302.20440882	2.97482598
303.40681363	2.97080985
304.60921844	2.96689547
305.81162325	2.96308282
307.01402806	2.95937192
308.21643287	2.95576276
309.41883768	2.95225533
310.62124248	2.94884965
311.82364729	2.94554571
313.02605210	2.94234351
