X_Interpolated	Y_Interpolated
350.00000000	-263.99999354
351.00000000	-254.99998734
352.00000000	-287.00016259
353.00000000	-285.99956117
354.00000000	-203.00062151
355.00000000	-289.99941249
356.00000000	-292.00050545
357.00000000	-286.99948689
358.00000000	-183.00049627
359.00000000	-194.99958937
360.00000000	-155.00050194
361.00000000	-30.99913463
362.00000000	242.99896364
363.00000000	208.00049683
364.00000000	432.00055727
365.00000000	897.99851101
366.00000000	1114.00215926
367.00000000	1653.99702058
368.00000000	2055.00401377
369.00000000	3257.99530364
370.00000000	3808.00452071
371.00000000	5291.99660855
372.00000000	6429.00137675
373.00000000	8192.00106771
374.00000000	10429.99697618
375.00000000	12060.00415407
376.00000000	14228.99508834
377.00000000	15796.00564178
378.00000000	18360.99368581
379.00000000	20495.00612554
380.00000000	24355.99607303
381.00000000	27493.99989590
382.00000000	30547.00465382
383.00000000	34110.99155591
384.00000000	35947.01106190
385.00000000	39395.98669128
386.00000000	41733.01506317
387.00000000	47171.98470742
388.00000000	50135.01479442
389.00000000	53636.98603351
390.00000000	53235.01148234
391.00000000	53694.99223043
392.00000000	52825.00501409
393.00000000	52198.99514308
394.00000000	51894.00679483
395.00000000	53115.99155822
396.00000000	52693.00850462
397.00000000	53007.99304677
398.00000000	51416.00397026
399.00000000	50203.99880740
400.00000000	49456.00046499
401.00000000	48466.99885422
402.00000000	47130.00159035
403.00000000	46657.99764795
404.00000000	47219.00421462
405.00000000	48756.99527761
406.00000000	48290.00186248
407.00000000	48046.00171350
408.00000000	48843.99761390
409.00000000	48500.00018368
410.00000000	47708.00247739
411.00000000	47168.99595616
412.00000000	45511.00437608
413.00000000	44066.99739900
414.00000000	41485.99687520
415.00000000	40172.01050086
416.00000000	42070.98767762
417.00000000	40067.00538353
418.00000000	39180.00583917
419.00000000	39910.98397856
420.00000000	38282.02292809
421.00000000	40310.97528545
422.00000000	37530.01967248
423.00000000	38671.98980632
424.00000000	38826.00267659
425.00000000	37368.99907359
426.00000000	35959.00278058
427.00000000	35250.99536136
428.00000000	33740.00551208
429.00000000	33084.99397868
430.00000000	31908.00600779
431.00000000	32029.99573876
432.00000000	31011.00098781
433.00000000	30029.00133538
434.00000000	30376.99859565
435.00000000	30928.00060436
436.00000000	31394.99978730
437.00000000	31555.00051406
438.00000000	31217.99848474
439.00000000	30529.00249925
440.00000000	30531.99677942
441.00000000	30312.00470347
442.00000000	30106.99319836
443.00000000	28325.00777760
444.00000000	28025.99272677
445.00000000	26994.00640782
446.00000000	26776.99477172
447.00000000	25454.00331348
448.00000000	24799.99812189
449.00000000	24898.00192199
450.00000000	25492.99822171
451.00000000	25204.99981076
452.00000000	25187.00243129
453.00000000	26417.99741865
454.00000000	26994.00104507
455.00000000	27460.99973205
456.00000000	28323.00166305
457.00000000	28873.99568592
458.00000000	28153.00652466
459.00000000	28071.99254505
460.00000000	26437.00717259
461.00000000	25877.99329548
462.00000000	24888.00713705
463.00000000	24875.99175201
464.00000000	23622.00935959
465.00000000	23644.98996374
466.00000000	22368.00928842
467.00000000	23304.99332109
468.00000000	23493.00420379
469.00000000	23771.99551378
470.00000000	24413.00700657
471.00000000	26536.99173454
472.00000000	26526.00629663
473.00000000	27469.99710390
474.00000000	28332.00081551
475.00000000	28692.99938183
476.00000000	28872.00038115
477.00000000	29426.00196020
478.00000000	29263.99445312
479.00000000	27321.00744522
480.00000000	26892.99319710
481.00000000	25606.00546033
482.00000000	24955.99481554
483.00000000	24101.00607751
484.00000000	24277.99333385
485.00000000	23303.00499717
486.00000000	23728.99968567
487.00000000	23666.99462600
488.00000000	22316.00830155
489.00000000	23450.99304481
490.00000000	23721.00314256
491.00000000	24400.00123248
492.00000000	25085.99474961
493.00000000	24807.00766116
494.00000000	26189.99215189
495.00000000	26206.00697433
496.00000000	26486.99431094
497.00000000	25256.00276238
498.00000000	24816.00231587
499.00000000	24598.99215672
500.00000000	22975.01133184
501.00000000	23559.98864216
502.00000000	21853.00894623
503.00000000	20987.99383422
504.00000000	19636.00318370
505.00000000	19760.00018384
506.00000000	20612.99783089
507.00000000	20443.00203230
508.00000000	20266.99863435
509.00000000	20208.00118233
510.00000000	20812.99807966
511.00000000	21974.00419281
512.00000000	23462.99327136
513.00000000	23186.00723476
514.00000000	24242.99411144
515.00000000	24589.00510870
516.00000000	24981.99360691
517.00000000	24709.00853160
518.00000000	25919.99093683
519.00000000	24991.00743591
520.00000000	24714.99470875
521.00000000	23847.00346286
522.00000000	23488.99912785
523.00000000	22429.99702647
524.00000000	21035.00610219
525.00000000	21490.99343238
526.00000000	20709.00574603
527.00000000	20059.99377393
528.00000000	19058.00746710
529.00000000	19836.99340936
530.00000000	19072.00272037
531.00000000	18958.00166251
532.00000000	19909.99644179
533.00000000	19892.00246554
534.00000000	20491.99956914
535.00000000	21515.99976830
536.00000000	22087.99905938
537.00000000	22567.00259804
538.00000000	23682.99644158
539.00000000	24112.00416316
540.00000000	24751.99477386
541.00000000	24703.00629939
542.00000000	25739.99376166
543.00000000	25380.00512621
544.00000000	25244.99598628
545.00000000	24391.00324352
546.00000000	23832.99762041
547.00000000	22712.00130739
548.00000000	21754.99926439
549.00000000	21150.00116214
550.00000000	20720.99831675
551.00000000	19775.00089382
552.00000000	19336.00128720
553.00000000	19044.99677448
554.00000000	17798.00333024
555.00000000	17492.99783545
556.00000000	17355.00156411
557.00000000	17171.99824742
558.00000000	16607.00114659
559.00000000	16838.00113271
560.00000000	17364.99575013
561.00000000	17422.00658137
562.00000000	18852.99338635
563.00000000	18745.00410983
564.00000000	19267.99949816
565.00000000	19921.99749639
566.00000000	20092.00372903
567.00000000	21233.99736400
568.00000000	21497.00027156
569.00000000	21332.00115141
570.00000000	21732.99915445
571.00000000	21843.00047298
572.00000000	21337.99804435
573.00000000	20839.00490187
574.00000000	21003.99347167
575.00000000	19253.00439688
576.00000000	18793.00061186
577.00000000	18664.99511732
578.00000000	17023.00591384
579.00000000	16726.99541063
580.00000000	16145.00323996
581.00000000	15776.99734239
582.00000000	14953.00194371
583.00000000	14590.99978320
584.00000000	13952.99789007
585.00000000	12977.00328902
586.00000000	13286.99775335
587.00000000	13198.00044717
588.00000000	12762.99966661
589.00000000	12902.00244951
590.00000000	13397.99480574
591.00000000	12910.00688009
592.00000000	13677.99289027
593.00000000	13441.00633015
594.00000000	14231.99493457
595.00000000	14388.00374733
596.00000000	15026.99714151
597.00000000	15300.00313156
598.00000000	15459.99525650
599.00000000	14990.00622140
600.00000000	15927.99428249
601.00000000	15646.00316643
602.00000000	15762.99980170
603.00000000	15973.99876251
604.00000000	15358.00025972
605.00000000	15084.00185979
606.00000000	15435.99706059
607.00000000	14793.00263131
608.00000000	14103.99783646
609.00000000	13142.00191712
610.00000000	12613.99876198
611.00000000	11890.99952313
612.00000000	11445.00329496
613.00000000	11343.99376567
614.00000000	10056.00770870
615.00000000	10294.99295196
616.00000000	9393.00503547
617.00000000	9205.99695709
618.00000000	8923.00192582
619.00000000	8874.99830495
620.00000000	8721.00196648
621.00000000	8845.99773888
622.00000000	8591.00212466
623.00000000	8792.99858569
624.00000000	8826.00032334
625.00000000	9001.00065684
626.00000000	9389.99923160
627.00000000	9276.99996705
628.00000000	9111.00058071
629.00000000	9593.99946300
630.00000000	10303.00135948
631.00000000	10489.99662697
632.00000000	9809.00471607
633.00000000	10424.99516820
634.00000000	10774.00539076
635.00000000	11370.99304975
636.00000000	10615.00822375
637.00000000	11113.99165730
638.00000000	10326.00750886
639.00000000	10735.99378162
640.00000000	10564.00440089
641.00000000	11439.99849868
642.00000000	11866.15487195
643.00000000	11645.45080279
644.00000000	11709.99214619
645.00000000	8943.00294448
646.00000000	8394.00550182
647.00000000	10496.99023709
648.00000000	9364.75040773
649.00000000	8610.63439335
650.00000000	7948.50485214
651.00000000	7985.28106326
652.00000000	6918.51007916
653.00000000	6550.64656180
654.00000000	6624.22824514
655.00000000	7462.99165979
656.00000000	5955.00732000
657.00000000	5809.99564756
658.00000000	5672.00199564
659.00000000	5715.99921834
660.00000000	5607.99998849
661.00000000	5430.00073925
662.00000000	5295.99878344
663.00000000	4945.00085595
664.00000000	5183.00034161
665.00000000	5640.99886302
666.00000000	5511.00067923
667.00000000	5531.00021930
668.00000000	5855.99956002
669.00000000	5953.00013705
670.00000000	5900.99978715
671.00000000	6042.00083062
672.00000000	6414.99871774
673.00000000	6438.00110785
674.00000000	6636.99931276
675.00000000	6745.00088842
676.00000000	6579.99789377
677.00000000	6159.00370842
678.00000000	6507.99496404
679.00000000	6259.00598037
680.00000000	6794.99399712
681.00000000	5938.00458519
682.00000000	5829.99724910
683.00000000	5791.00209712
684.00000000	5815.99715162
685.00000000	5501.00393330
686.00000000	5862.99586840
687.00000000	5273.00303921
688.00000000	5142.99861890
689.00000000	4934.00021274
690.00000000	4528.00017416
691.00000000	4201.99956099
692.00000000	4079.00119689
693.00000000	4090.99794739
694.00000000	3657.00205905
695.00000000	3813.99897811
696.00000000	3786.99992668
697.00000000	3407.00027862
698.00000000	3219.00008079
699.00000000	3272.99979756
700.00000000	3226.00006895
