Wavelenth	Value_10.1063/1.1540725
828.15262	0.0
769.20191	0.0
709.11038	0.0
626.84077	0.0
581.83827	0.0
538.99929	0.0
504.26201	0.01303
474.72443	0.00934
445.80663	0.05343
421.76984	0.11383
406.64506	0.19147
399.46697	0.38281
395.27921	0.51046
391.16907	0.73444
389.80669	0.92683
387.11929	1.21529
386.4419	1.40782
383.1614	1.59982
379.93906	1.75971
376.77333	1.88749
372.44041	1.93473
368.80443	1.9821
363.47965	2.07725
358.31034	2.12423
353.286	2.17121
346.80082	2.2499
342.09314	2.28083
336.01227	2.31136
330.62371	2.35807
324.9393	2.40466
319.44602	2.4673
314.13638	2.51388
307.32738	2.54389
303.21895	2.57468
298.82489	2.60534
293.41291	2.65166
289.29653	2.68233
285.65319	2.71312
282.10046	2.74391
277.61163	2.79037
270.65601	2.83577
266.52133	2.88222
