Wavelenth	Value_10.1063/1.1540725
834.80482	5.75207
793.91582	5.75023
759.36052	5.79668
725.37239	5.8109
694.29158	5.84116
661.87667	5.88722
628.85678	5.90091
600.55285	5.94684
574.68702	5.99276
546.96416	6.08646
521.80117	6.13199
506.6454	6.1945
490.22041	6.24069
476.81781	6.31925
464.12855	6.39782
451.1962	6.4923
438.11362	6.61877
428.17845	6.74562
419.4578	6.87261
411.83134	6.99974
405.19286	7.19121
400.17303	7.36689
395.28237	7.47835
392.53478	7.60626
389.83434	7.63785
385.86316	7.57284
383.91372	7.47612
381.98977	7.31517
379.448	7.17015
376.93984	7.02513
372.01049	6.86353
366.61243	6.73391
360.79292	6.62021
355.15655	6.49046
348.6179	6.3765
342.31447	6.27859
335.24034	6.19647
328.4505	6.14647
321.93233	6.06435
314.35696	5.96578
307.54232	5.93157
301.41763	5.88143
295.91661	5.84748
291.35906	5.81379
288.03155	5.79655
283.71105	5.77892
279.86377	5.74536
274.78203	5.71128
