Energy (eV)	Extintion_Coefficent_101063_1369524
276	0
277.0501	0
278.1002	0
279.1503	0
280.2004	0
281.2505	0
282.3006	0
283.3507	0
284.4008	0
285.4509	0
286.501	0
287.5511	0
288.6012	0
289.6513	0
290.7014	0
291.7515	0
292.8016	0
293.8517	0
294.9018	0
295.9519	0
297.002	0
298.0521	0
299.1022	0
300.1523	0
301.2024	0
302.25251	0
303.30261	0
304.35271	0
305.40281	0
306.45291	0
307.50301	0
308.55311	0
309.60321	0
310.65331	0
311.70341	0
312.75351	0
313.80361	0
314.85371	0
315.90381	0
316.95391	0
318.00401	0
319.05411	0
320.10421	0
321.15431	0
322.20441	0
323.25451	0
324.30461	0
325.35471	0
326.40481	0
327.45491	0
328.50501	0
329.55511	0
330.60521	0
331.65531	0
332.70541	0
333.75551	0
334.80561	0
335.85571	0
336.90581	0
337.95591	0
339.00601	0
340.05611	0
341.10621	0
342.15631	0
343.20641	0
344.25651	0
345.30661	0
346.35671	0
347.40681	0
348.45691	0
349.50701	0
350.55711	0
351.60721	0
352.65731	0
353.70741	0
354.75752	0
355.80762	0
356.85772	0
357.90782	0
358.95792	0
360.00802	0
361.05812	0
362.10822	0
363.15832	0
364.20842	0
365.25852	0
366.30862	0
367.35872	0
368.40882	0
369.45892	0
370.50902	0
371.55912	0
372.60922	0
373.65932	0
374.70942	0
375.75952	0
376.80962	0
377.85972	0
378.90982	0
379.95992	0
381.01002	0
382.06012	0
383.11022	0
384.16032	0
385.21042	0
386.26052	0
387.31062	0
388.36072	0
389.41082	0
390.46092	0
391.51102	0
392.56112	0
393.61122	0
394.66132	0
395.71142	0
396.76152	0
397.81162	0
398.86172	0
399.91182	0
400.96192	0
402.01202	0
403.06212	0
404.11222	0
405.16232	0
406.21242	0
407.26253	0
408.31263	0
409.36273	0
410.41283	0
411.46293	0
412.51303	0
413.56313	0
414.61323	0
415.66333	0
416.71343	0
417.76353	0
418.81363	0
419.86373	0
420.91383	0
421.96393	0
423.01403	0
424.06413	0
425.11423	0
426.16433	0
427.21443	0
428.26453	0
429.31463	0
430.36473	0
431.41483	0
432.46493	0
433.51503	0
434.56513	0
435.61523	0
436.66533	0
437.71543	0
438.76553	0
439.81563	0
440.86573	0
441.91583	0
442.96593	0
444.01603	0
445.06613	0
446.11623	0
447.16633	0
448.21643	0
449.26653	0
450.31663	0
451.36673	0
452.41683	0
453.46693	0
454.51703	0
455.56713	0
456.61723	0
457.66733	0
458.71743	0
459.76754	0
460.81764	0
461.86774	0
462.91784	0
463.96794	0
465.01804	0
466.06814	0
467.11824	0
468.16834	0
469.21844	0
470.26854	0
471.31864	0
472.36874	0
473.41884	0
474.46894	0
475.51904	0
476.56914	0
477.61924	0
478.66934	0
479.71944	0
480.76954	0
481.81964	0
482.86974	0
483.91984	0
484.96994	0
486.02004	0
487.07014	0
488.12024	0
489.17034	0
490.22044	0
491.27054	0
492.32064	0
493.37074	0
494.42084	0
495.47094	0
496.52104	0
497.57114	0
498.62124	0
499.67134	0
500.72144	0
501.77154	0
502.82164	0
503.87174	0
504.92184	0
505.97194	0
507.02204	0
508.07214	0
509.12224	0
510.17234	0
511.22244	0
512.27255	0
513.32265	0
514.37275	0
515.42285	0
516.47295	0
517.52305	0
518.57315	0
519.62325	0
520.67335	0
521.72345	0
522.77355	0
523.82365	0
524.87375	0
525.92385	0
526.97395	0
528.02405	0
529.07415	0
530.12425	0
531.17435	0
532.22445	0
533.27455	0
534.32465	0
535.37475	0
536.42485	0
537.47495	0
538.52505	0
539.57515	0
540.62525	0
541.67535	0
542.72545	0
543.77555	0
544.82565	0
545.87575	0
546.92585	0
547.97595	0
549.02605	0
550.07615	0
551.12625	0
552.17635	0
553.22645	0
554.27655	0
555.32665	0
556.37675	0
557.42685	0
558.47695	0
559.52705	0
560.57715	0
561.62725	0
562.67735	0
563.72745	0
564.77756	0
565.82766	0
566.87776	0
567.92786	0
568.97796	0
570.02806	0
571.07816	0
572.12826	0
573.17836	0
574.22846	0
575.27856	0
576.32866	0
577.37876	0
578.42886	0
579.47896	0
580.52906	0
581.57916	0
582.62926	0
583.67936	0
584.72946	0
585.77956	0
586.82966	0
587.87976	0
588.92986	0
589.97996	0
591.03006	0
592.08016	0
593.13026	0
594.18036	0
595.23046	0
596.28056	0
597.33066	0
598.38076	0
599.43086	0
600.48096	0
601.53106	0
602.58116	0
603.63126	0
604.68136	0
605.73146	0
606.78156	0
607.83166	0
608.88176	0
609.93186	0
610.98196	0
612.03206	0
613.08216	0
614.13226	0
615.18236	0
616.23246	0
617.28257	0
618.33267	0
619.38277	0
620.43287	0
621.48297	0
622.53307	0
623.58317	0
624.63327	0
625.68337	0
626.73347	0
627.78357	0
628.83367	0
629.88377	0
630.93387	0
631.98397	0
633.03407	0
634.08417	0
635.13427	0
636.18437	0
637.23447	0
638.28457	0
639.33467	0
640.38477	0
641.43487	0
642.48497	0
643.53507	0
644.58517	0
645.63527	0
646.68537	0
647.73547	0
648.78557	0
649.83567	0
650.88577	0
651.93587	0
652.98597	0
654.03607	0
655.08617	0
656.13627	0
657.18637	0
658.23647	0
659.28657	0
660.33667	0
661.38677	0
