Wave	Intensity
350	-264
351	-255
352	-287
353	-286
354	-203
355	-290
356	-292
357	-287
358	-183
359	-195
360	-155
361	-31
362	243
363	208
364	432
365	898
366	1114
367	1654
368	2055
369	3258
370	3808
371	5292
372	6429
373	8192
374	10430
375	12060
376	14229
377	15796
378	18361
379	20495
380	24356
381	27494
382	30547
383	34111
384	35947
385	39396
386	41733
387	47172
388	50135
389	53637
390	53235
391	53695
392	52825
393	52199
394	51894
395	53116
396	52693
397	53008
398	51416
399	50204
400	49456
401	48467
402	47130
403	46658
404	47219
405	48757
406	48290
407	48046
408	48844
409	48500
410	47708
411	47169
412	45511
413	44067
414	41486
415	40172
416	42071
417	40067
418	39180
419	39911
420	38282
421	40311
422	37530
423	38672
424	38826
425	37369
426	35959
427	35251
428	33740
429	33085
430	31908
431	32030
432	31011
433	30029
434	30377
435	30928
436	31395
437	31555
438	31218
439	30529
440	30532
441	30312
442	30107
443	28325
444	28026
445	26994
446	26777
447	25454
448	24800
449	24898
450	25493
451	25205
452	25187
453	26418
454	26994
455	27461
456	28323
457	28874
458	28153
459	28072
460	26437
461	25878
462	24888
463	24876
464	23622
465	23645
466	22368
467	23305
468	23493
469	23772
470	24413
471	26537
472	26526
473	27470
474	28332
475	28693
476	28872
477	29426
478	29264
479	27321
480	26893
481	25606
482	24956
483	24101
484	24278
485	23303
486	23729
487	23667
488	22316
489	23451
490	23721
491	24400
492	25086
493	24807
494	26190
495	26206
496	26487
497	25256
498	24816
499	24599
500	22975
501	23560
502	21853
503	20988
504	19636
505	19760
506	20613
507	20443
508	20267
509	20208
510	20813
511	21974
512	23463
513	23186
514	24243
515	24589
516	24982
517	24709
518	25920
519	24991
520	24715
521	23847
522	23489
523	22430
524	21035
525	21491
526	20709
527	20060
528	19058
529	19837
530	19072
531	18958
532	19910
533	19892
534	20492
535	21516
536	22088
537	22567
538	23683
539	24112
540	24752
541	24703
542	25740
543	25380
544	25245
545	24391
546	23833
547	22712
548	21755
549	21150
550	20721
551	19775
552	19336
553	19045
554	17798
555	17493
556	17355
557	17172
558	16607
559	16838
560	17365
561	17422
562	18853
563	18745
564	19268
565	19922
566	20092
567	21234
568	21497
569	21332
570	21733
571	21843
572	21338
573	20839
574	21004
575	19253
576	18793
577	18665
578	17023
579	16727
580	16145
581	15777
582	14953
583	14591
584	13953
585	12977
586	13287
587	13198
588	12763
589	12902
590	13398
591	12910
592	13678
593	13441
594	14232
595	14388
596	15027
597	15300
598	15460
599	14990
600	15928
601	15646
602	15763
603	15974
604	15358
605	15084
606	15436
607	14793
608	14104
609	13142
610	12614
611	11891
612	11445
613	11344
614	10056
615	10295
616	9393
617	9206
618	8923
619	8875
620	8721
621	8846
622	8591
623	8793
624	8826
625	9001
626	9390
627	9277
628	9111
629	9594
630	10303
631	10490
632	9809
633	10425
634	10774
635	11371
636	10615
637	11114
638	10326
639	10736
640	10564
641	11440
642	11866.15733
643	11645.44426
644	11710
645	8943
646	8394
647	10497
648	9364.7425
649	8610.6395
650	7948.50028
651	7985.2858
652	6918.50594
653	6550.65082
654	6624.22184
655	7463
656	5955
657	5810
658	5672
659	5716
660	5608
661	5430
662	5296
663	4945
664	5183
665	5641
666	5511
667	5531
668	5856
669	5953
670	5901
671	6042
672	6415
673	6438
674	6637
675	6745
676	6580
677	6159
678	6508
679	6259
680	6795
681	5938
682	5830
683	5791
684	5816
685	5501
686	5863
687	5273
688	5143
689	4934
690	4528
691	4202
692	4079
693	4091
694	3657
695	3814
696	3787
697	3407
698	3219
699	3273
700	3226
