Eje_X_Distancia Banda_1 Banda_2 Banda_3
0.00000000e+00 -7.00000000e-02 3.25700000e+00 3.25700000e+00
2.81126859e-02 -7.01629970e-02 3.25688414e+00 3.25718520e+00
5.62253719e-02 -7.06516134e-02 3.25653689e+00 3.25774019e+00
8.43380578e-02 -7.14647282e-02 3.25595915e+00 3.25866307e+00
1.12450744e-01 -7.26004804e-02 3.25515248e+00 3.25995074e+00
1.40563430e-01 -7.40562804e-02 3.25411901e+00 3.26159882e+00
1.68676116e-01 -7.58288255e-02 3.25286152e+00 3.26360178e+00
1.96788802e-01 -7.79141193e-02 3.25138337e+00 3.26595284e+00
2.24901488e-01 -8.03074954e-02 3.24968851e+00 3.26864410e+00
2.53014173e-01 -8.30036442e-02 3.24778150e+00 3.27166652e+00
2.81126859e-01 -8.59966431e-02 3.24566748e+00 3.27500998e+00
3.09239545e-01 -8.92799896e-02 3.24335216e+00 3.27866331e+00
3.37352231e-01 -9.28466369e-02 3.24084182e+00 3.28261434e+00
3.65464917e-01 -9.66890313e-02 3.23814329e+00 3.28684993e+00
3.93577603e-01 -1.00799152e-01 3.23526394e+00 3.29135604e+00
4.21690289e-01 -1.05168550e-01 3.23221168e+00 3.29611780e+00
4.49802975e-01 -1.09788392e-01 3.22899493e+00 3.30111952e+00
4.77915661e-01 -1.14649499e-01 3.22562262e+00 3.30634477e+00
5.06028347e-01 -1.19742392e-01 3.22210413e+00 3.31177643e+00
5.34141033e-01 -1.25057329e-01 3.21844935e+00 3.31739678e+00
5.62253719e-01 -1.30584346e-01 3.21466860e+00 3.32318748e+00
5.90366405e-01 -1.36313302e-01 3.21077263e+00 3.32912973e+00
6.18479091e-01 -1.42233909e-01 3.20677258e+00 3.33520423e+00
6.46591777e-01 -1.48335775e-01 3.20268002e+00 3.34139130e+00
6.74704463e-01 -1.54608434e-01 3.19850685e+00 3.34767092e+00
7.02817148e-01 -1.61041380e-01 3.19426531e+00 3.35402276e+00
7.30929834e-01 -1.67624099e-01 3.18996799e+00 3.36042628e+00
7.59042520e-01 -1.74346094e-01 3.18562772e+00 3.36686074e+00
7.87155206e-01 -1.81196911e-01 3.18125764e+00 3.37330525e+00
8.15267892e-01 -1.88166161e-01 3.17687110e+00 3.37973886e+00
8.43380578e-01 -1.95243541e-01 3.17248167e+00 3.38614055e+00
8.71493264e-01 -2.02418852e-01 3.16810309e+00 3.39248934e+00
8.99605950e-01 -2.09682008e-01 3.16374925e+00 3.39876426e+00
9.27718636e-01 -2.17023054e-01 3.15943416e+00 3.40494444e+00
9.55831322e-01 -2.24432174e-01 3.15517190e+00 3.41100914e+00
9.83944008e-01 -2.31899695e-01 3.15097664e+00 3.41693778e+00
1.01205669e+00 -2.39416092e-01 3.14686252e+00 3.42270998e+00
1.04016938e+00 -2.46971992e-01 3.14284370e+00 3.42830557e+00
1.06828207e+00 -2.54558173e-01 3.13893428e+00 3.43370468e+00
1.09639475e+00 -2.62165557e-01 3.13514829e+00 3.43888769e+00
1.12450744e+00 -2.69785215e-01 3.13149962e+00 3.44383533e+00
1.15262012e+00 -2.77408351e-01 3.12800202e+00 3.44852866e+00
1.18073281e+00 -2.85026303e-01 3.12466906e+00 3.45294911e+00
1.20884550e+00 -2.92630527e-01 3.12151407e+00 3.45707852e+00
1.23695818e+00 -3.00212592e-01 3.11855014e+00 3.46089912e+00
1.26507087e+00 -3.07764165e-01 3.11579006e+00 3.46439360e+00
