Eje_X_Distancia Banda_1 Banda_2 Banda_3
0.00000000e+00 -5.80000000e-02 2.92900000e+00 2.92900000e+00
2.81126859e-02 -5.81647556e-02 2.92888474e+00 2.92917214e+00
5.62253719e-02 -5.86586777e-02 2.92853927e+00 2.92968798e+00
8.43380578e-02 -5.94807342e-02 2.92796453e+00 2.93054572e+00
1.12450744e-01 -6.06292125e-02 2.92716210e+00 2.93174241e+00
1.40563430e-01 -6.21017297e-02 2.92613418e+00 2.93327390e+00
1.68676116e-01 -6.38952481e-02 2.92488359e+00 2.93513491e+00
1.96788802e-01 -6.60060937e-02 2.92341376e+00 2.93731903e+00
2.24901488e-01 -6.84299785e-02 2.92172874e+00 2.93981877e+00
2.53014173e-01 -7.11620265e-02 2.91983319e+00 2.94262552e+00
2.81126859e-01 -7.41968028e-02 2.91773234e+00 2.94572971e+00
3.09239545e-01 -7.75283445e-02 2.91543204e+00 2.94912073e+00
3.37352231e-01 -8.11501951e-02 2.91293869e+00 2.95278703e+00
3.65464917e-01 -8.50554396e-02 2.91025926e+00 2.95671618e+00
3.93577603e-01 -8.92367420e-02 2.90740129e+00 2.96089489e+00
4.21690289e-01 -9.36863833e-02 2.90437283e+00 2.96530906e+00
4.49802975e-01 -9.83963000e-02 2.90118248e+00 2.96994384e+00
4.77915661e-01 -1.03358123e-01 2.89783933e+00 2.97478370e+00
5.06028347e-01 -1.08563217e-01 2.89435296e+00 2.97981246e+00
5.34141033e-01 -1.14002718e-01 2.89073343e+00 2.98501335e+00
5.62253719e-01 -1.19667570e-01 2.88699124e+00 2.99036909e+00
5.90366405e-01 -1.25548562e-01 2.88313735e+00 2.99586189e+00
6.18479091e-01 -1.31636361e-01 2.87918309e+00 3.00147357e+00
6.46591777e-01 -1.37921546e-01 2.87514021e+00 3.00718557e+00
6.74704463e-01 -1.44394638e-01 2.87102080e+00 3.01297901e+00
7.02817148e-01 -1.51046127e-01 2.86683730e+00 3.01883477e+00
7.30929834e-01 -1.57866501e-01 2.86260246e+00 3.02473348e+00
7.59042520e-01 -1.64846266e-01 2.85832930e+00 3.03065564e+00
7.87155206e-01 -1.71975968e-01 2.85403112e+00 3.03658161e+00
8.15267892e-01 -1.79246211e-01 2.84972142e+00 3.04249170e+00
